,title,price,shipping
46,"Dell Latitude E7440 14"" (256GB, Intel Core i5 4310U 2.0GHz, 8GB) Laptop",$145.50,+$29.20 shipping
47,Dell Latitude E6410 Intel i5 M560 | 2.67GHz | 4GB DDR3 RAM 320GB HDD | Win10 Pro,$189.99,Free shipping
48,"Acer Chromebook 11 C740-C3P1(11.6-inch HD, 2 GB, 16 GB SSD)",$75.00,Free shipping
49,"Onn 2-In-1 Convertible Laptop, 13.3” FHD Touchscreen, Intel Core i3, 128GB, 4GB",$295.96,Free shipping
50,"Dell latitude E7450 14"" FHD Touch i5-5300U 8gb 256GB SSD Back-Lit, BT, Win10 Pro",$319.00,+$18.95 shipping
51,"Acer Chromebook C720-2844 11.6"" 2955u 1.4GHz 4GB RAM 16GB SSD Chrome OS",$95.89,Free shipping
52,"NEW Samsung Chromebook 15.6"" FHD Intel Dual Core 2.6GHz 64GB eMMC 4GB RAM+Webcam",$344.99,Free shipping
53,NEW HP 14 Intel N4000 2.6GHz 64GB SSD 4GB RAM FREE MS Office Webcam Mic Win10,$299.99,Free shipping
54,"Lenovo ThinkPad T520 Laptop Computer Intel i5 15.6"" 8GB 500GB Windows 10 Webcam",$251.99,Free shipping
55,HP EliteBook 8540w i7 Quad 1.7G 12GB NEW 1TB  Radeon M5800 Win10 WIFI DVD Laptop,$339.99,Free shipping
56,"HP Chromebook 14 G1 Dual-Core 1.4GHz 4GB 16GB  14"" LED Chromebook F7W49UA",$114.99,Free shipping
57,"SEALED  HP Stream Laptop - 14"" HD Intel N4000 4GB RAM 64GB eMMC Webcam BT Win 10",$299.99,Free shipping
58,Dell Latitude E7240 i7-4600U 2.1GHz 16GB RAM 256GB SSD Win 10 Pro,$225.00,Free shipping
59,"Acer Aspire 3 15.6"" Laptop AMD Athlon 3020E 4GB DDR4 128GB SSD Windows 10",$329.00,Free shipping
60,"HP Chromebook 14 G1 SMB F7W49UA#ABA 14"" 4GB RAM 16GB SSD Netbook HD Graphics",$139.99,Free shipping
61,"Dell Gaming laptop Intel E6530 i7 3720QM 8G 500G HDD 15.6"" FHD Win 10 PRO",$379.99,Free shipping
62,"EVOO TEV-C-116-1-SL Ultra Thin 11.6"" FHD N3350 1.1GHz 4GB RAM 32GB eMMc Win 10S",$115.00,Free shipping
