545,16.8,62,9
546,15.1,68,10
547,14.1,76,5
548,13.1,82,5
549,11.9,86,8
550,11.3,88,7
551,11.1,88,9
552,10.7,89,9
553,9.6,88,17
554,9.1,89,11
555,8.8,86,13
556,8.7,82,17
557,8.7,82,18
558,8.6,83,15
559,8.6,82,18
560,8.8,81,19
561,9.7,81,17
562,11.7,80,16
563,13.6,80,23
564,16,75,26
565,16.9,74,27
566,18.2,72,20
567,17.3,74,18
568,17.5,73,24
569,16.9,75,20
570,17,78,21
571,17.4,81,19
572,17.7,84,16
573,18.1,80,16
574,18.1,75,20
575,16.9,86,19
576,15.4,95,14
577,15.2,96,16
578,15.3,97,22
579,15.7,95,17
580,15.3,96,19
581,15.4,96,16
582,15.4,97,13
583,15.6,97,19
584,15.8,98,11
585,16.4,98,12
586,17,98,15
587,17.7,98,13
588,18.3,98,13
589,19.1,98,16
590,19.5,97,16
591,20.1,97,14
592,19.8,97,17
593,19.9,98,17
594,20.2,96,16
595,20.4,95,16
596,20.5,95,15
597,20.7,95,13
598,20.7,96,22
599,20.4,97,17
