0,15,95,3
1,14.5,95,3
2,14.1,96,4
3,14.3,96,4
4,13.9,97,4
5,14.2,97,4
6,15.7,97,1
7,17.4,98,3
8,18.9,99,7
9,20.9,96,4
10,22.9,87,6
11,25.1,80,10
12,26.3,74,16
13,27,72,16
14,27.4,70,18
15,27.7,68,21
16,27.4,71,14
17,26.6,73,15
18,24.4,82,14
19,23.2,86,12
20,22.8,89,9
21,22.1,93,5
22,22.1,93,3
23,22.5,88,7
24,22.5,88,9
25,22.1,89,6
26,22.3,89,5
27,21.9,93,8
28,21.9,93,8
29,21.6,95,7
30,22.2,94,11
31,22.9,92,6
32,23.7,89,10
33,25.7,83,10
34,26.4,76,12
35,27.7,72,18
36,26.6,80,18
37,26.8,82,15
38,28,72,15
39,28,70,15
40,27,76,10
41,26.4,78,9
42,26.9,76,12
43,25.7,79,8
44,25.1,79,8
45,25.3,79,6
46,25.2,81,6
47,24.9,84,4
48,24,88,6
49,23.5,89,7
50,22.7,90,6
51,21.9,94,7
52,21.9,94,7
53,22.7,92,8
54,22.8,91,10
55,23.8,88,10
56,25.4,81,15
57,27,73,13
58,28,67,16
59,30.2,62,13
60,29.9,62,19
61,30.8,59,14
62,31,57,15
63,29.3,63,18
64,28.6,70,16
65,27.7,69,18
66,26.2,74,14
67,24.8,77,13
68,23.6,81,8
69,23,82,4
70,21.2,90,8
71,20.6,91,8
72,20.5,92,4
73,19.1,94,3
74,18.6,96,5
75,18.8,97,2
76,18.1,98,4
77,18.2,98,5
78,17.7,99,4
79,19.5,99,4
80,21.6,87,2
81,23.8,70,8
82,24.6,66,12
83,25.5,64,10
84,26.4,66,13
85,26.5,68,11
86,28,63,14
87,28.3,66,11
88,28.6,67,16
89,27.6,72,18
90,26.1,76,16
91,23.8,86,12
92,22.9,91,9
93,22.5,92,6
94,22.2,90,5
95,21.7,91,4
96,21.2,96,3
97,20.6,97,3
98,20.9,98,1
99,20.2,98,3
100,19.5,98,4
101,18.9,98,4
102,19.3,98,1
103,22,94,3
104,25.4,82,8
105,27.8,76,10
106,29.5,69,13
107,31.6,65,12
108,31.9,62,22
109,26.8,80,13
110,31.1,67,13
111,32.5,55,21
112,32.2,52,23
113,32,51,15
114,30.7,54,17
115,29.2,60,13
116,28.7,63,20
117,27.8,69,13
118,27.4,72,14
119,25.4,72,20
120,23.7,80,11
121,22.6,88,9
122,21.3,91,10
123,21.3,90,19
124,20.8,89,20
125,20.3,88,17
126,20.2,88,16
127,20.2,88,14
128,20.6,88,17
129,21.4,83,11
130,21.9,79,17
131,23,72,16
132,23.2,75,7
